639;5452
4853;6529
1591;4130
1695;5107
4602;7288
1466;3930
4641;8711
1072;3419
1825;4333
4110;10772
5141;10562
3841;7624
4449;11463
2305;4708
3709;5617
2904;5512
16915;26418
4487;9686
4897;7885
954;1440
3231;4719
3641;5462
3111;13181
6396;10176
4719;7319
6471;7673
7805;10030
6620;8807
3859;5544
6405;7850
1292;1840
2580;3879
729;3105
4975;7660
2238;4659
2405;3847
6069;8052
2276;4169
2056;4814
14432;16578
3614;5673
5655;8970
2234;4398
6614;26699
4348;6376
3913;6326
13054;16054
4708;8842
6348;7944
4018;6644
