3366;10581
4100;9475
2119;8269
805;4048
1472;11433
1393;9497
6248;20294
1913;9653
5539;10741
5368;16124
2248;9401
1731;4912
4209;9795
2502;31835
5180;11925
1579;11681
1988;7402
3240;26493
4617;13979
4130;7489
2281;7927
5928;11415
5035;11238
3094;14455
1407;5013
3911;12309
5727;11116
6497;22055
6657;27343
7108;18955
4328;9926
2043;5454
3189;10260
2872;9382
2181;8372
12183;15897
1217;7914
2953;4849
1128;8591
2824;5680
4300;27287
1995;11921
3759;7617
3201;10167
9362;16831
1880;13106
12270;32723
10266;18838
6596;16163
4547;33209
2452;22422
1592;11234
9992;24209
4356;32384
2508;9888
8236;25931
2552;30444
3362;30485
6580;35545
1716;7328
10358;17105
4142;11934
2194;8008
