1071;9535
2135;9602
1872;10555
1880;7696
2202;8095
893;5504
817;5342
943;9397
870;6692
949;5521
892;9409
757;4239
699;6544
921;9633
1867;6456
883;6798
2117;12053
685;7180
1496;7305
964;5360
1077;9541
844;8078
771;6717
826;6937
6128;13176
3186;9042
888;6628
2830;9453
834;10629
804;8245
1842;6434
902;7174
1743;9018
743;5765
1746;8830
916;5759
693;6846
1837;10963
1428;8488
980;5676
772;8239
1846;7666
947;9294
944;9356
965;9492
2008;6389
1083;7171
718;1474
828;6775
783;9050
1004;9278
1044;5587
960;5496
904;6779
847;9131
1062;6904
984;7063
1871;10465
