MQTT 100Bytes
811
859
790
840
806
830
847
786
819
810
874
796
812
824
887
845
817
834
1045
817
789
784
895
840
798
899
921
868
838
877
819
957
797
862
815
899
815
800
788
796
811
806
782
805
832
811
801
799
810
845
842
818
772
836
795
836
834
871
807
814
802
875
944
850
809
801
792
779
884
781
808
807
781
795
826
799
809
793
786
826
794
788
790
834
825
781
792
828
800
799
844
796
818
789
825
775
815
791
802
891
819
824
810
884
828
794
800
802
942
806
773
796
843
840
845
816
794
900
784
809
797
790
805
873
797
811
1082
817
