14569;1898;24513
12006;1436;14563
12191;1319;15978
13518;1103;16979
12185;1390;15768
9415;1436;12480
12380;1002;14987
12417;1110;16132
8647;1089;21557
5716;1065;8570
7021;1161;9994
5259;1414;11006
1802;1629;5983
1405;1850;10925
8606;1032;12465
1697;1640;8657
7021,1161,9994
5716,1065,8570
9415,1436,12480
