2141;1042;10219
1541;1991;10940
1629;1941;5641
2164;1973;10894
2601;1893;15075
718;1419;9921
1810;1303;11589
2985;1461;15230
1268;1023;9049
1031;1471;14531
1916;1959;15385
1780;1940;9905
1898;1876;11042
985;1779;10666
3646;1089;11646
2103;1463;16178
3226;1913;14725
947;1034;10693
3258;1762;16420
1671;1592;10391
1309;1787;12881
2348;1481;14727
1360;1591;21105
1780;1512;12747
1657;1121;11977
1708;1327;10911
986;1645;9824
932;1147;13063
1513;1665;13152
2845;1331;12419
931;1153;31288
3214;1034;11676
1673;1850;12570
674;1252;6704
1735;1781;15340
1564;1194;9538
1197;1277;14605
2542;1220;15822
4178;1738;12017
1638;1801;10488
2279;1004;16087
2494;1852;16880
1177;1184;14504
2237;1850;17965
1849;1675;11229
1551;1549;9282
1250;1903;17323
2074;1997;14296
1583;1001;10844
1636;1133;13676
866;1954;10117
1775;1878;14653
3791;1872;16903
843;1857;7515
2455;1676;12621
1341;1572;13484
2339;1881;16131
1502;1732;16193
1849;1518;15414
1587;1381;12797
1114;1143;10089
2548;1840;13806
1225;1797;30320
1190;1618;13367
1457;1531;17554
791;1284;9359
1028;1767;8415
1054;1685;10560
2614;1522;11691
1884;1922;15547
1729;1617;13067
1793;1656;12624
2147;1212;14425
1205;1173;14629
1755;1509;13741
2609;1722;1754;----------> Nedded time for attemptsInBackoff: 23301ms
26779
1815;1116;14033
3643;1305;1516;----------> Nedded time for attemptsInBackoff: 18315ms
24176
1767;1322;8021
2798;1571;15748
1768;1604;13117
885;1295;10272
2248;1793;10602
1150;1036;12412
1275;1075;18717
1694;1475;19041
1296;1809;10245
3081;1961;15653
1798;1935;29041
1142;1861;13606
1128;1754;10160
3554;1608;16934
1024;1118;9893
1107;1315;10286
3435;1426;14538
1864;1065;11134
5928;1080;14891
4626;1991;17840
1326;1728;11753
1588;1082;13883
1720;1986;11214
3368;1737;17035
3198;1044;12873
2128;1661;34882
1219;1265;6253
1951;1402;14885
1484;1239;12744
2737;1626;13619
1804;1758;11163
651;1388;8987
2233;1901;13453
2789;1572;14903
1725;1423;14879
1861;1057;13534
1100;1485;11059
772;1353;5723
3280;1360;12622
1825;1296;10801
1921;1255;12200
1407;1728;8568
3581;1149;12793
1554;1183;20739
3027;1272;14638
843;1997;52085
881;1825;12574
1552;1897;11459
949;1132;7446
1676;1487;12514
2558;1436;13156
1655;1131;17074
2507;1552;14099
6162;1992;16167
3501;1448;12268
2813;1083;11857
1101;1667;12566
1628;1768;9343
1470;1325;10748
1213;1734;11692
2672;1521;10645
1681;1219;14563
2324;1001;10165
1444;1337;11950
2315;1994;15142
963;1559;11204
1916;1183;15397
1731;1343;9293
1441;1088;7805
1588;1015;11728
915;1469;10117
1654;1503;13474
2508;1434;13572
1402;1596;10115
2213;1911;14548
1816;1386;10708
1386;1032;17349
842;1315;9310
1640;1956;9180
944;1975;13858
2604;1557;15768
1799;1838;13644
3444;1718;14802
1585;1951;10969
1856;1258;7638
1692;1687;15627
4286;1114;13000
4704;1545;14514
1407;1905;15426
1949;1468;13833
1392;1365;12156
973;1781;11475
2384;1952;18282
1807;1251;13456
816;1951;16545
3839;1503;16075
3712;1531;18522
2139;1574;12215
861;1873;6494
1073;1577;13040
3545;1405;14425
1333;1562;11171
1325;1839;11286
1484;1095;9128
2166;1437;13669
1246;1602;6906
1377;1531;19604
2269;1786;13941
1706;1477;12403
