1685;1656;9949
826;1487;5384
1839;1458;7989
873;1864;5921
722;1193;4727
1530;1470;5290
578;1555;4425
2562;1098;6378
3061;1399;10772
2945;1207;9162
1674;1424;5383
2743;1732;40265
1442;1002;5152
628;1347;5489
997;1543;5450
1093;1342;5450
1785;1018;5082
2786;1841;8440
1093;1342;5450
1785;1018;5082
2786;1841;8440
899;1121;5206
2392;1320;9159
1958;1181;5021
2437;1890;7869
1216;1437;4673
2875;1057;10472
1196;1394;5630
2566;1319;8709
1247;1651;5415
2449;1265;10783
4956;1054;7757
2527;1037;10431
706;1455;3716
1356;1828;6213
940;1434;4917
2939;1513;7088
1319;1658;5423
1211;1736;9534
