4403;1273;13436
3121;1313;13809
1533;1879;10702
766;1858;21667
653;1358;8508
4132;1840;9364
2450;1905;14960
862;1709;11035
3194;1766;18235
1544;1077;10649
3486;1795;12170
886;1365;10670
1778;1733;13576
1339;1003;12399
3363;1022;13147
1779;1858;12437
1505;1231;9233
1665;1148;6016
2736;1622;10627
1322;1959;10502
2089;1476;16669
1454;1691;14316
2481;1325;9255
1966;1766;11424
1524;1875;12286
2075;1040;11541
872;1043;10882
1867;1287;7976
2114;1240;12499
2159;1363;12975
1272;1120;8992
1541;1871;10590
1343;1715;8888
1549;1415;5569
1408;1179;9640
1839;1319;10519
1781;1903;14628
1528;1128;11001
1455;1222;9245
2341;1324;9412
