NODE0; NODE1; NODE2; NODE3; NODE4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15709;15710;18579;18580;25256;25258;37455;59049;62460;76422;84438;91350;94659;103038;103126;103127;109350;122232;132562;144647;148123;148206;157207;165911;170413;179808;202239;206048;206049;;;;;
9417;9429;12904;12933;25567;25568;27845;27846;29728;59219;59220;;;;;;;;;;;;;;;;;;;;;;;
3314;3316;3878;3879;8395;8396;9694;9696;11870;11870;;;;;;;;;;;;;;;;;;;;;;;;
2179;2182;8092;8092;16091;16092;17478;17479;58741;58741;;;;;;;;;;;;;;;;;;;;;;;;
2172;2173;7673;7674;13130;13131;16567;16570;19994;19996;;;;;;;;;;;;;;;;;;;;;;;;
4903;4904;8125;8128;14011;14011;16547;16548;25797;25798;;;;;;;;;;;;;;;;;;;;;;;;
2984;2985;8850;8850;16652;16653;22565;22566;24214;24216;;;;;;;;;;;;;;;;;;;;;;;;
1933;1935;20127;20127;25472;25473;40563;72935;72935;123198;123199;;;;;;;;;;;;;;;;;;;;;;;
12482;12483;29432;29433;30982;30983;44797;44799;49532;49533;;;;;;;;;;;;;;;;;;;;;;;;
64816;64817;3097;3099;8605;29673;29673;36351;36352;40049;40050;;;;;;;;;;;;;;;;;;;;;;;
3697;3698;7402;7406;9838;9839;10550;10550;105119;115835;199554;255785;344834;473033;496514;980428;980429;;;;;;;;;;;;;;;;;
11003;11003;11749;11750;17953;17975;23747;23747;65320;117108;155024;197985;209050;216075;263331;290053;316146;462386;933695;;;;;;;;;;;;;;;
21542;21543;28555;28568;30737;30737;42021;42022;121148;131111;131111;;;;;;;;;;;;;;;;;;;;;;;
8168;8169;19424;19425;30747;30747;115221;115222;119455;119456;;;;;;;;;;;;;;;;;;;;;;;;
3704;3704;13495;13496;14073;14073;107309;107310;112367;112367;;;;;;;;;;;;;;;;;;;;;;;;
15856;15857;16236;16236;27478;27479;27600;27601;31307;31307;;;;;;;;;;;;;;;;;;;;;;;;
8252;8253;97101;97102;101921;101922;103115;103116;152496;152497;;;;;;;;;;;;;;;;;;;;;;;;
12083;12085;45487;45488;62085;62086;79025;79026;92803;92804;;;;;;;;;;;;;;;;;;;;;;;;
8376;8393;16379;16380;36734;36735;41977;41978;67145;;;;;;;;;;;;;;;;;;;;;;;;;
15383;15383;26504;26506;28779;28780;50972;50973;60728;60729;;;;;;;;;;;;;;;;;;;;;;;;
77248;77249;4039;4040;4519;4519;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5316;5317;17490;17491;21371;21374;30200;30201;54225;134897;134898;;;;;;;;;;;;;;;;;;;;;;;
2679;2680;3521;3522;17013;17013;28795;80346;80347;86731;88943;123970;131194;142407;142407;;;;;;;;;;;;;;;;;;;
1610;1611;8131;8131;11281;11281;74564;105278;105279;;;;;;;;;;;;;;;;;;;;;;;;;
7489;7490;22053;22054;46072;46073;85855;85856;97035;97036;;;;;;;;;;;;;;;;;;;;;;;;
2478;2479;9247;9248;13323;13331;16875;16876;44266;65581;65582;;;;;;;;;;;;;;;;;;;;;;;
14057;14058;41204;41205;44368;44369;44515;44516;165121;165122;;;;;;;;;;;;;;;;;;;;;;;;
10728;10729;28736;28738;49419;49425;77628;77629;86422;182258;200468;245595;278869;278870;;;;;;;;;;;;;;;;;;;;
